pitcher_id,pitcher_name,era,whip,k_per_9,bb_per_9,ip,fip_computed
594798,Jacob deGrom,0.51,0.57,15.17,1.03,35.0,0.8642857142857143
543037,Gerrit Cole,1.43,0.72,14.81,0.72,37.2,0.4080645161290324
543101,Anthony DeSclafani,1.5,0.97,9.0,2.1,30.0,2.716666666666667
607192,Tyler Glasnow,1.67,0.8,13.38,2.63,37.2,1.7252688172043011
607644,John Means,1.7,0.84,9.24,2.43,37.0,3.6635135135135135
477132,Clayton Kershaw,2.09,0.91,9.08,1.16,38.2,2.5217277486910996
506433,Yu Darvish,2.13,0.89,11.61,2.61,38.0,2.807894736842105
592332,Kevin Gausman,2.14,0.86,9.09,2.67,33.2,3.1801204819277107
502043,Kyle Gibson,2.16,1.14,7.29,2.97,33.1,2.515558912386707
571510,Matthew Boyd,2.27,0.93,6.06,1.77,35.2,2.752272727272727
641154,Pablo López,2.34,1.1,8.83,2.6,34.2,3.179239766081871
545333,Trevor Bauer,2.48,0.68,11.48,1.8,40.0,3.475
669456,Shane Bieber,2.76,0.99,14.46,2.98,42.1,2.4611638954869357
650644,Aaron Civale,2.94,0.92,6.95,2.41,33.2,3.9632530120481926
453286,Max Scherzer,3.0,0.93,11.4,1.8,30.0,3.8166666666666664
605400,Aaron Nola,3.11,0.96,9.32,1.19,37.2,2.5048387096774194
554430,Zack Wheeler,3.13,1.11,9.95,3.13,31.2,3.6307692307692307
592351,Jon Gray,3.15,1.22,7.86,3.67,34.1,3.7658357771260995
621111,Walker Buehler,3.16,0.96,8.9,0.57,31.1,3.0213826366559484
645261,Sandy Alcantara,3.19,0.98,8.84,2.7,36.2,3.15
628711,Julio Urías,3.23,0.98,9.39,1.76,30.2,2.918211920529801
425844,Zack Greinke,3.44,1.15,6.63,1.47,36.2,3.9511049723756906
621107,Zach Eflin,3.58,1.07,7.44,0.55,32.2,2.870496894409938
543135,Nathan Eovaldi,3.63,1.15,8.31,1.82,34.2,1.892690058479532
605135,Chris Bassitt,3.93,1.28,9.44,3.15,34.1,3.2379765395894426
608566,Germán Márquez,4.13,1.47,9.09,5.23,32.2,4.08167701863354
605164,Dylan Bundy,4.2,1.1,10.2,2.4,30.0,3.8499999999999996
453562,Jake Arrieta,4.31,1.31,8.04,3.45,31.1,4.596945337620578
579328,Yusei Kikuchi,4.4,1.14,7.92,3.23,30.2,4.606953642384106
572971,Dallas Keuchel,4.65,1.32,4.65,3.19,31.0,4.440322580645161
642232,Ryan Yarbrough,4.86,1.29,7.02,1.62,33.1,2.9083081570996976
518516,Madison Bumgarner,5.58,1.24,9.68,2.93,30.2,3.679801324503311
