pitcher_id,pitcher_name,era,whip,k_per_9,bb_per_9,ip,fip_computed
622075,Yency Almonte,1.11,0.87,8.63,2.78,32.1,2.9630841121495326
623465,Evan Phillips,1.18,0.74,10.62,2.21,61.0,1.95327868852459
592773,Ryne Stanek,1.21,1.25,10.21,5.19,52.0,3.1115384615384616
664854,Ryan Helsley,1.28,0.74,13.22,2.7,63.1,2.3417591125198096
672335,Cionel Pérez,1.29,1.15,8.25,3.4,55.2,2.9144927536231884
621242,Edwin Díaz,1.35,0.87,17.4,2.7,60.0,0.833333333333333
661403,Emmanuel Clase,1.42,0.75,9.17,1.29,69.2,2.095086705202312
675916,James Karinchak,1.45,1.02,14.22,4.58,37.1,2.206603773584906
542914,Anthony Bass,1.47,1.0,9.49,2.41,67.1,2.8072280178837556
592094,Jason Adam,1.56,0.76,10.66,2.42,63.1,2.611172741679873
642207,Devin Williams,1.67,0.93,13.96,3.94,59.1,1.7963620981387478
656271,Brock Burke,1.71,1.04,9.68,2.73,79.0,3.061392405063291
664747,Alexis Díaz,1.76,0.96,11.89,4.55,61.1,3.084533551554828
434378,Justin Verlander,1.8,0.85,9.26,1.48,170.0,2.5029411764705882
657024,Erik Swanson,1.81,0.93,11.6,1.63,49.2,1.8898373983739838
661395,Jhoan Duran,1.86,0.98,11.84,2.13,67.2,2.376190476190476
453268,Daniel Bard,1.88,0.99,9.89,3.92,57.1,2.9398423817863395
657571,Caleb Ferguson,1.95,1.05,9.19,3.9,32.1,2.8073208722741434
668868,Zack Thompson,1.99,1.01,6.82,3.69,31.2,3.694871794871795
650556,Bryan Abreu,2.01,1.2,12.81,4.01,58.1,2.0828743545611017
621345,A.J. Minter,2.01,0.88,12.22,1.75,67.0,1.7917910447761194
519043,Matt Moore,2.06,1.21,9.9,4.76,70.0,3.092857142857143
656302,Dylan Cease,2.06,1.09,11.16,3.72,179.0,2.926536312849162
661527,Seth Martinez,2.09,1.03,8.84,3.26,38.2,3.2808900523560207
664062,Tony Gonsolin,2.1,0.86,8.14,2.45,128.1,3.2749024199843872
628711,Julio Urías,2.12,0.96,8.58,2.12,170.0,3.5558823529411763
453286,Max Scherzer,2.13,0.88,10.89,1.55,139.2,2.2663793103448273
493603,Adam Ottavino,2.14,0.98,10.86,2.14,63.0,2.6896825396825395
680704,Nick Sandlin,2.14,1.14,8.14,4.93,42.0,3.6023809523809525
676760,Ron Marinaccio,2.18,1.06,11.54,4.79,41.1,2.809367396593674
669459,Kyle Nelson,2.19,1.08,7.3,3.41,37.0,3.014864864864865
605447,Jordan Romano,2.2,1.03,10.27,2.93,61.1,2.691734860883797
681911,Alex Vesia,2.22,1.14,12.99,4.1,52.2,2.1155172413793104
642585,Félix Bautista,2.23,0.93,11.97,3.06,64.2,2.9163551401869157
605130,Scott Barlow,2.24,0.98,9.21,2.49,72.1,3.552219140083218
669276,Dylan Lee,2.25,1.02,10.5,1.69,48.0,2.7333333333333334
605538,Matt Wisler,2.25,1.0,7.16,2.86,44.0,4.286363636363636
670167,John Schreiber,2.29,0.97,10.29,2.57,63.0,2.34047619047619
650633,Michael King,2.29,1.0,11.65,2.82,51.0,2.2676470588235293
623474,Jimmy Herget,2.3,0.9,8.24,2.03,66.2,2.772356495468278
666201,Alek Manoah,2.31,1.0,8.31,2.31,190.2,3.1657728706624604
645261,Sandy Alcantara,2.32,0.99,8.12,2.04,220.2,2.968346957311535
621121,Lance McCullers Jr.,2.38,1.25,9.72,4.54,41.2,3.44126213592233
656529,Sam Hentges,2.4,0.98,10.35,2.85,60.0,2.45
663158,Robert Suarez,2.42,1.12,11.08,4.23,44.2,3.2631221719457013
663765,Jake Woodford,2.42,1.14,4.43,2.22,44.2,3.1952488687782803
477132,Clayton Kershaw,2.42,0.95,9.68,1.56,115.1,2.5331450912250215
662253,Andrés Muñoz,2.44,0.89,13.5,2.15,62.2,1.8959807073954984
663558,Jovani Morán,2.45,1.17,12.03,4.42,36.2,1.9345303867403314
682171,Penn Murfee,2.45,0.89,9.55,2.32,66.0,2.786363636363636
623149,Paul Sewald,2.45,0.74,9.67,2.31,62.1,3.439855072463768
668678,Zac Gallen,2.46,0.89,9.35,2.21,179.0,2.7533519553072625
606160,Rafael Montero,2.47,1.02,9.73,2.88,65.2,2.5365030674846625
660271,Shohei Ohtani,2.47,1.07,11.94,2.47,153.0,2.5094771241830065
502085,David Robertson,2.48,1.14,11.53,4.52,61.2,3.362418300653595
608331,Max Fried,2.5,1.02,8.33,1.6,180.1,2.6946973903387006
663556,Shane McClanahan,2.51,0.92,10.71,2.06,161.1,2.98860955927995
542881,Tyler Anderson,2.54,1.0,6.63,1.76,173.2,3.2366050808314086
605280,Clay Holmes,2.54,1.02,9.19,2.83,63.2,2.4537974683544306
605194,Jharel Cotton,2.56,1.11,8.15,3.96,38.2,5.034816753926702
641482,Nestor Cortes,2.56,0.95,9.0,2.15,151.0,3.2427152317880794
605488,Jeffrey Springs,2.56,1.1,9.69,2.14,126.1,3.15
666808,Camilo Doval,2.58,1.27,10.85,4.07,66.1,2.8776853252647503
503449,Wily Peralta,2.58,1.51,7.51,5.63,38.1,4.0423884514435695
456034,David Price,2.58,1.17,8.69,1.88,38.1,3.8849081364829394
608328,Chase De Jong,2.61,1.09,7.57,3.78,69.0,4.613768115942029
664123,Scott Effross,2.63,1.06,9.71,2.3,54.2,2.4673431734317344
628452,Raisel Iglesias,2.64,0.98,11.17,2.02,58.0,2.4603448275862068
605347,Jorge López,2.65,1.21,9.26,3.97,68.0,3.179411764705882
664299,Cristian Javier,2.65,0.96,11.8,3.15,142.2,3.128902953586498
622253,Dillon Tate,2.66,0.94,7.48,1.39,71.0,2.8683098591549294
675911,Spencer Strider,2.67,0.99,13.81,3.08,131.2,1.793292682926829
664285,Framber Valdez,2.69,1.14,8.58,2.97,191.0,2.982460732984293
543521,Collin McHugh,2.69,0.94,9.81,1.88,67.0,2.567910447761194
642545,Jaime Barria,2.7,1.06,6.22,2.23,76.2,4.383595800524934
605218,Carl Edwards Jr.,2.7,1.23,8.1,3.75,60.0,4.116666666666666
548384,Brooks Raley,2.7,0.94,10.29,2.19,53.1,2.3213747645951033
593974,Wandy Peralta,2.72,1.05,7.51,2.72,56.1,2.8469696969696967
670280,David Bednar,2.72,1.11,12.32,2.72,49.2,2.357317073170732
573009,Joe Mantiply,2.73,1.04,9.25,0.76,59.1,2.4393401015228426
622554,Seranthony Domínguez,2.76,1.04,10.84,3.49,49.0,2.966326530612245
693821,Bryce Elder,2.76,1.22,7.71,4.04,49.0,3.5785714285714283
605154,John Brebbia,2.77,1.26,7.34,2.49,65.0,3.15
476595,Lucas Luetge,2.78,1.36,9.49,2.62,55.0,2.859090909090909
663986,Trevor Stephan,2.79,1.17,11.59,2.2,61.1,1.9388707037643207
543272,Brad Hand,2.8,1.33,7.6,4.6,45.0,3.572222222222222
640451,Hunter Harvey,2.8,1.22,10.19,2.8,35.1,2.1813390313390313
656222,Jalen Beeks,2.8,1.16,10.33,3.25,61.0,3.428688524590164
605177,Andrew Chafin,2.83,1.13,10.0,3.0,54.0,3.1314814814814813
625643,Reynaldo López,2.84,0.93,8.67,1.56,63.1,1.9455625990491283
656876,Drew Rasmussen,2.85,1.06,7.9,2.01,139.0,3.185971223021583
669395,Dylan Coleman,2.86,1.26,9.14,5.05,66.0,3.786363636363636
621051,Steven Wilson,2.88,1.04,9.0,3.24,50.0,4.05
660813,Brusdar Graterol,2.89,0.94,7.91,1.93,46.2,2.8686147186147184
657612,Tim Hill,2.89,1.14,4.82,2.12,46.2,3.063419913419913
600917,José Leclerc,2.89,1.11,10.22,3.86,46.2,3.561255411255411
643256,Adam Cimber,2.9,1.11,7.38,1.71,68.1,3.2234214390602056
657277,Logan Webb,2.9,1.16,7.63,2.29,192.1,2.9625976054138468
669456,Shane Bieber,2.91,1.03,9.0,1.62,195.0,2.8884615384615384
594580,Sam Moll,2.91,1.27,9.55,4.57,43.1,4.054872389791183
519151,Ryan Pressly,2.91,0.86,11.85,2.14,46.1,2.347396963123644
475479,David Phelps,2.92,1.33,9.19,4.52,61.2,3.0356209150326796
647315,Zach Pop,2.92,1.22,5.59,0.97,37.0,2.9337837837837837
554430,Zack Wheeler,2.92,1.06,9.49,2.07,148.0,2.8729729729729727
594798,Jacob deGrom,2.93,0.74,14.04,1.23,58.1,1.7730636833046471
527048,Martín Pérez,2.93,1.25,7.9,3.03,190.1,3.155260389268806
595345,Steven Okert,2.98,1.17,11.05,4.56,51.1,3.991487279843444
606149,Giovanny Gallegos,2.98,0.96,10.99,2.2,57.1,2.799737302977233
607074,Carlos Rodón,2.98,1.05,11.88,2.72,172.0,2.3244186046511626
622503,Nabil Crismatt,2.98,1.2,8.81,3.13,63.1,3.0549128367670364
