pitcher_id,pitcher_name,era,whip,k_per_9,bb_per_9,ip,fip_computed
624133,Ranger Suarez,1.32,0.63,8.78,1.1,41.0,2.515853658536585
676710,Kutter Crawford,1.35,1.11,9.18,2.97,33.1,2.0925981873111783
621244,José Berríos,1.44,1.01,6.39,2.68,43.2,3.821296296296296
625643,Reynaldo López,1.5,1.0,9.3,3.0,30.0,2.9499999999999997
663855,Jordan Hicks,1.59,0.91,7.15,2.65,34.0,2.826470588235294
656557,Tanner Houck,1.6,0.92,9.38,1.14,39.1,1.768925831202046
669854,Ronel Blanco,1.65,0.92,8.27,3.86,32.2,3.398447204968944
607625,Seth Lugo,1.66,1.11,5.45,2.13,38.0,3.3342105263157893
605513,Spencer Turnbull,1.67,0.84,10.02,2.78,32.1,3.0565420560747665
669373,Tarik Skubal,1.72,0.74,10.06,1.47,36.2,2.100276243093923
554430,Zack Wheeler,1.93,0.88,11.09,2.65,37.1,2.2605121293800536
665871,Javier Assad,1.97,1.0,7.59,2.53,32.0,3.11875
669302,Logan Gilbert,2.03,0.8,9.9,2.03,40.0,3.25
682243,Bryce Miller,2.04,0.88,9.93,3.06,35.1,3.8052706552706552
542881,Tyler Anderson,2.23,1.07,6.69,3.72,36.1,4.701246537396122
622663,Luis Severino,2.31,1.06,7.97,2.83,35.0,3.064285714285714
592351,Jon Gray,2.48,1.19,9.64,3.03,32.2,2.808385093167702
607074,Carlos Rodón,2.48,1.19,8.27,3.86,32.2,3.802173913043478
669203,Corbin Burnes,2.55,0.93,8.92,2.04,35.1,3.691310541310541
607200,Erick Fedde,2.6,1.07,10.13,2.34,34.2,3.939473684210526
663903,Brady Singer,2.62,1.02,8.91,3.41,34.1,3.8244868035190613
458681,Lance Lynn,2.64,1.4,8.51,3.82,30.2,4.67317880794702
607192,Tyler Glasnow,2.72,0.93,11.09,2.51,43.0,2.7313953488372094
656302,Dylan Cease,2.78,0.87,10.09,3.53,35.2,2.809090909090909
527048,Martín Pérez,2.86,1.36,7.01,3.38,34.2,3.0915204678362573
579328,Yusei Kikuchi,2.94,1.16,9.62,2.14,33.2,2.4873493975903616
657277,Logan Webb,2.98,1.3,6.38,2.13,42.1,2.7461995249406175
543135,Nathan Eovaldi,3.0,1.22,9.0,4.25,36.0,3.65
672282,Reid Detmers,3.12,1.15,9.61,2.6,34.2,2.623684210526316
686752,Ryan Pepiot,3.12,0.87,9.87,2.6,34.2,3.325438596491228
683003,Jared Jones,3.18,0.91,11.12,1.32,34.0,3.7970588235294116
676775,Keaton Winn,3.18,0.97,7.41,2.65,34.0,3.5323529411764705
669022,MacKenzie Gore,3.19,1.35,11.03,2.61,31.0,2.4080645161290324
657376,Clarke Schmidt,3.19,1.39,9.87,3.77,31.0,3.8919354838709674
605400,Aaron Nola,3.2,1.07,8.24,2.52,39.1,4.479923273657289
642547,Freddy Peralta,3.21,0.86,12.03,2.41,33.2,2.8186746987951805
671096,Andrew Abbott,3.27,1.12,7.36,3.0,33.0,4.483333333333333
641793,Zack Littell,3.27,1.36,9.55,1.36,33.0,2.665151515151515
621112,Paul Blackburn,3.34,1.09,7.2,2.31,35.0,3.807142857142857
668678,Zac Gallen,3.38,1.22,9.84,2.53,32.0,3.43125
657746,Joe Ryan,3.38,1.04,10.64,1.3,34.2,2.7114035087719297
666142,Cole Ragans,3.44,1.36,11.29,3.19,36.2,2.0450276243093923
676440,Tanner Bibee,3.45,1.31,10.05,3.45,31.1,3.7287781350482314
622491,Luis Castillo,3.46,1.18,10.58,1.73,41.2,2.931553398058252
