pitcher_id,pitcher_name,era,whip,k_per_9,bb_per_9,ip,fip_computed
676979,Garrett Crochet,3.49,0.93,12.01,1.94,69.2,2.803179190751445
622663,Luis Severino,3.52,1.17,7.59,3.8,64.0,3.74375
687765,Mitch Spence,3.52,1.15,7.98,2.82,38.1,3.333727034120735
680570,Grayson Rodriguez,3.53,1.33,10.76,3.71,51.0,3.2676470588235293
683003,Jared Jones,3.55,1.01,9.95,1.71,63.1,3.7680665610142627
502043,Kyle Gibson,3.6,1.22,7.2,3.46,65.0,4.303846153846154
680730,Mitchell Parker,3.6,1.14,7.74,2.16,50.0,3.4499999999999997
642547,Freddy Peralta,3.61,1.06,11.84,2.89,62.1,3.15
640455,Sean Manaea,3.63,1.3,9.0,3.79,57.0,3.325438596491228
579328,Yusei Kikuchi,3.66,1.25,8.82,1.9,66.1,2.9987140695915278
676440,Tanner Bibee,3.74,1.17,9.55,2.49,65.0,3.457692307692308
570632,José Ureña,3.74,1.34,6.11,3.15,45.2,4.565929203539823
679525,Alec Marsh,3.76,1.15,7.53,2.78,55.0,3.8227272727272728
663474,Triston McKenzie,3.77,1.38,8.48,5.34,57.1,5.549299474605954
607067,Colin Rea,3.77,1.34,6.34,3.17,59.2,4.552027027027027
615698,Cal Quantrill,3.84,1.29,6.62,3.31,68.0,4.311764705882353
666745,Jhony Brito,3.86,1.29,4.75,2.08,30.1,3.6483388704318935
667755,José Soriano,3.86,1.22,8.33,3.86,58.1,3.700774526678141
686752,Ryan Pepiot,3.88,0.95,9.91,3.11,46.1,3.3886117136659433
664299,Cristian Javier,3.89,1.41,7.01,4.93,34.2,4.758187134502924
681867,Cooper Criswell,3.92,1.19,8.45,2.06,43.2,3.450925925925926
641540,Dane Dunning,3.94,1.2,10.45,4.34,45.2,4.565929203539823
664285,Framber Valdez,3.95,1.24,6.91,2.8,54.2,3.7404059040590405
676664,JP Sears,4.01,1.11,6.01,2.54,67.1,4.208122205663189
605135,Chris Bassitt,4.03,1.43,8.35,3.73,60.1,4.048502495840266
601713,Nick Pivetta,4.08,1.05,10.7,1.78,35.1,4.318091168091168
669923,George Kirby,4.08,1.02,8.56,0.79,68.1,3.2234214390602056
650633,Michael King,4.09,1.27,10.09,3.95,66.0,4.786363636363636
657006,Justin Steele,4.1,1.21,8.68,2.65,37.1,4.201212938005391
621112,Paul Blackburn,4.11,1.15,7.04,2.54,46.0,4.128260869565217
621107,Zach Eflin,4.12,1.17,6.71,0.61,59.0,3.6245762711864407
592332,Kevin Gausman,4.14,1.36,9.28,2.32,54.1,3.0575785582255084
621389,Ty Blach,4.15,1.27,4.41,1.82,34.2,3.9102339181286547
690986,Kyle Harrison,4.15,1.4,8.31,3.05,65.0,4.119230769230769
694297,Brandon Pfaadt,4.16,1.07,8.46,1.61,67.0,3.164925373134328
666200,Jesús Luzardo,4.18,1.14,8.71,2.79,51.2,3.6578125
678394,Brayan Bello,4.18,1.18,8.37,2.85,47.1,4.445116772823779
608379,Michael Wacha,4.24,1.25,7.41,2.65,68.0,3.5323529411764705
663362,Matt Waldron,4.26,1.37,9.47,3.0,57.0,3.413157894736842
450203,Charlie Morton,4.29,1.32,9.37,3.65,56.2,3.666014234875445
665152,Dean Kremer,4.32,1.12,8.82,3.24,50.0,4.87
608718,Brent Suter,4.35,1.32,7.26,2.32,31.0,4.827419354838709
607259,Nick Martinez,4.37,1.18,6.46,1.14,47.1,2.9164543524416136
571760,Andrew Heaney,4.47,1.37,8.23,2.5,50.1,4.227844311377245
605452,Joe Ross,4.5,1.38,7.5,3.43,42.0,3.8642857142857143
663978,Chris Paddack,4.57,1.38,7.97,1.77,61.0,4.313934426229508
593423,Frankie Montas,4.6,1.4,6.32,3.45,47.0,4.830851063829787
527048,Martín Pérez,4.71,1.55,7.22,2.98,57.1,4.586077057793345
663554,Casey Mize,4.71,1.43,6.16,2.17,49.2,4.084959349593496
668933,Graham Ashcraft,4.76,1.45,7.21,3.22,58.2,4.627663230240549
641154,Pablo López,4.84,1.15,10.07,1.48,67.0,3.732089552238806
641927,Bailey Ober,4.89,1.11,9.16,1.89,57.0,4.02719298245614
641712,Dakota Hudson,5.02,1.48,4.87,4.55,57.1,4.726182136602452
