pitcher_id,pitcher_name,era,whip,k_per_9,bb_per_9,ip,fip_computed
660271,Shohei Ohtani,0.6,0.87,10.2,2.7,30.0,1.7833333333333332
667755,José Soriano,0.84,0.94,10.34,3.38,42.2,2.8893364928909953
680736,Justin Wrobleski,1.5,0.97,4.5,2.7,30.0,3.05
693645,Cam Schlittler,1.51,0.74,10.58,1.3,41.2,1.5237864077669903
607259,Nick Martinez,1.7,1.0,5.84,2.19,37.0,3.6364864864864863
800048,Parker Messick,1.73,0.88,9.41,2.48,36.1,2.235872576177285
605280,Clay Holmes,1.75,0.97,6.25,2.75,36.0,3.761111111111111
693821,Bryce Elder,1.88,1.05,7.53,2.72,43.0,2.9872093023255815
663436,Davis Martin,1.95,1.08,8.03,1.95,37.0,2.7175675675675675
594798,Jacob deGrom,2.01,0.96,11.49,2.01,31.1,2.92491961414791
608331,Max Fried,2.09,0.8,7.04,2.28,47.1,2.6192144373673036
801403,Chase Dollander,2.25,1.0,10.97,2.53,32.0,2.775
519242,Chris Sale,2.31,0.91,9.77,2.31,35.0,3.607142857142857
650633,Michael King,2.41,1.04,9.09,4.01,33.2,3.631927710843373
690997,Nolan McLean,2.55,0.85,11.46,2.55,35.1,2.1813390313390313
694738,Landen Roupp,2.55,0.91,9.42,3.57,35.1,2.608689458689459
607192,Tyler Glasnow,2.56,0.83,10.94,3.03,38.2,3.0714659685863874
701542,Will Warren,2.59,1.15,10.63,2.01,31.1,2.69983922829582
607625,Seth Lugo,2.63,1.17,7.41,2.63,37.2,2.7198924731182794
656876,Drew Rasmussen,2.64,0.85,9.39,1.47,30.2,3.679801324503311
695505,Chase Burns,2.65,1.12,10.32,3.18,34.0,3.826470588235294
656492,Foster Griffin,2.67,1.07,8.02,2.67,33.2,4.20421686746988
592662,Robbie Ray,2.7,1.14,9.45,3.78,33.1,4.267824773413897
669373,Tarik Skubal,2.7,0.95,9.35,1.25,43.1,2.0827146171693736
668909,Gavin Williams,2.7,1.02,11.01,3.95,43.1,3.8228538283062643
813349,Connelly Early,2.84,1.2,7.96,3.98,31.2,4.3679487179487175
