pitcher_id,pitcher_name,era,whip,k_per_9,bb_per_9,ip,fip_computed
607231,John Gant,1.17,0.72,9.98,2.64,30.2,3.083774834437086
647336,Michael Soroka,1.41,0.91,8.01,2.35,57.1,2.379422066549912
547943,Hyun Jin Ryu,1.48,0.81,8.51,0.62,73.0,2.5335616438356166
521230,Liam Hendriks,1.71,1.11,10.23,3.69,31.2,2.508974358974359
607192,Tyler Glasnow,1.86,0.91,10.24,1.68,48.1,2.235239085239085
519393,Marcus Walden,1.97,0.88,9.84,2.25,32.0,2.525
543606,Jake Odorizzi,2.16,0.99,9.41,3.09,58.1,2.9778829604130808
434378,Justin Verlander,2.16,0.73,10.61,1.96,87.1,3.5288748564867967
605200,Zach Davies,2.19,1.23,6.13,2.77,61.2,3.9833333333333334
622491,Luis Castillo,2.33,1.11,10.59,4.13,69.2,3.1066473988439305
663978,Chris Paddack,2.4,0.82,9.91,1.92,56.1,3.203475935828877
433589,Yusmeiro Petit,2.43,0.81,5.67,1.08,33.1,4.207401812688822
450203,Charlie Morton,2.54,1.1,11.09,3.61,67.1,2.658196721311475
489334,Craig Stammen,2.64,0.95,6.75,0.59,30.2,3.9778145695364238
448179,Rich Hill,2.73,1.09,10.09,1.64,33.0,4.210606060606061
501985,Mike Minor,2.74,1.19,9.52,2.85,75.2,3.3627659574468085
592773,Ryne Stanek,2.78,1.08,9.46,2.78,32.1,3.1811526479750776
607644,John Means,2.8,1.1,7.41,2.47,54.2,3.998708487084871
572020,James Paxton,2.81,1.13,12.74,3.24,41.2,2.324757281553398
593423,Frankie Montas,2.81,1.2,9.28,2.53,64.0,2.74375
456034,David Price,2.83,1.03,10.01,2.08,47.2,3.2559322033898304
605513,Spencer Turnbull,2.84,1.26,8.64,3.24,66.2,3.4823262839879154
573186,Marcus Stroman,2.84,1.3,6.99,3.08,76.0,3.4789473684210526
571510,Matthew Boyd,2.85,1.02,10.9,1.86,72.2,2.595983379501385
608337,Lucas Giolito,2.85,0.98,10.35,3.0,60.0,2.716666666666667
448855,Junior Guerra,2.9,0.97,8.13,3.48,31.0,4.601612903225806
547179,Michael Lorenzen,2.9,1.39,7.84,2.9,31.0,3.6338709677419354
621107,Zach Eflin,3.02,1.19,6.99,1.92,65.2,4.22361963190184
656222,Jalen Beeks,3.02,1.3,8.66,3.22,44.2,2.584389140271493
596133,Luke Weaver,3.03,1.11,9.82,2.02,62.1,2.892351046698873
477132,Clayton Kershaw,3.05,1.05,8.39,1.37,59.0,3.5059322033898304
656288,Griffin Canning,3.06,0.96,9.46,2.51,32.1,4.302647975077882
605483,Blake Snell,3.06,1.04,12.11,2.48,61.2,2.970261437908497
425844,Zack Greinke,3.09,0.93,8.27,1.32,81.2,3.507142857142857
543294,Kyle Hendricks,3.09,1.11,7.84,1.67,70.0,3.0785714285714283
543475,Jordan Lyles,3.09,1.1,9.11,3.09,55.1,3.3314882032667876
592761,Caleb Smith,3.1,0.97,11.8,2.66,61.0,3.5434426229508196
502748,Brad Peacock,3.17,1.06,9.2,2.72,59.2,3.099324324324324
544931,Stephen Strasburg,3.19,0.99,11.16,2.28,79.0,2.580379746835443
592165,Brandon Brennan,3.19,1.13,9.58,4.35,31.0,4.15
608331,Max Fried,3.19,1.21,8.13,2.32,62.0,3.585483870967742
461829,Gio Gonzalez,3.19,1.19,7.55,2.61,31.0,3.182258064516129
547888,Masahiro Tanaka,3.2,1.18,8.32,2.18,70.1,3.6920827389443653
621381,Matt Strahm,3.21,1.13,8.2,1.77,56.0,3.775
489119,Wade Miley,3.25,1.14,7.01,2.08,69.1,4.351157742402315
630023,Yonny Chirinos,3.25,0.95,7.23,1.62,61.0,4.215573770491803
453286,Max Scherzer,3.26,1.19,11.87,1.98,77.1,2.177237354085603
605135,Chris Bassitt,3.27,1.14,10.23,3.7,41.1,4.634184914841849
621244,José Berríos,3.27,1.13,8.42,1.64,77.0,3.5136363636363637
502624,Chase Anderson,3.31,1.35,9.37,3.86,32.2,3.957453416149068
592866,Trevor Williams,3.33,1.13,7.0,1.67,54.0,3.1129629629629627
548389,Ross Stripling,3.35,1.19,8.37,2.72,43.0,3.405813953488372
570240,Félix Peña,3.42,0.98,9.18,2.34,50.0,3.9699999999999998
543022,Tyler Chatwood,3.45,1.44,7.18,5.17,31.1,4.95064308681672
571578,Patrick Corbin,3.46,1.14,9.92,2.63,75.1,3.376364846870839
543699,Tanner Roark,3.47,1.4,9.39,3.61,62.1,3.1016908212560383
608566,Germán Márquez,3.48,1.14,8.75,1.79,85.1,3.1735017626321973
282332,CC Sabathia,3.48,1.26,7.4,3.7,41.1,6.215693430656934
594798,Jacob deGrom,3.49,1.15,10.85,2.45,69.2,3.2367052023121388
527054,Julio Teheran,3.53,1.25,8.55,4.48,66.1,4.314901664145235
543243,Sonny Gray,3.54,1.21,10.29,3.54,56.0,2.9714285714285715
571927,Steven Matz,3.55,1.34,9.06,2.84,50.2,4.66394422310757
452657,Jon Lester,3.59,1.39,8.54,2.22,52.2,3.724712643678161
592662,Robbie Ray,3.59,1.44,11.78,5.03,62.2,3.2464630225080384
628317,Kenta Maeda,3.61,1.11,8.95,2.89,62.1,4.003462157809984
593334,Domingo Germán,3.66,1.11,9.98,2.53,64.0,3.80625
669456,Shane Bieber,3.67,1.09,11.14,2.23,68.2,3.883137829912023
543766,Bryan Shaw,3.71,1.26,5.82,3.71,34.0,4.620588235294118
527048,Martín Pérez,3.71,1.4,8.75,4.15,60.2,3.6649501661129564
592717,Aaron Sanchez,3.75,1.52,8.4,4.95,60.0,4.233333333333333
502043,Kyle Gibson,3.75,1.22,9.1,2.17,62.1,3.729710144927536
656427,Jack Flaherty,3.76,1.14,10.16,2.78,64.2,4.0378504672897195
545333,Trevor Bauer,3.76,1.17,10.33,3.98,83.2,3.738942307692308
500779,Jose Quintana,3.78,1.32,8.37,2.7,66.2,3.754229607250755
628711,Julio Urías,3.78,1.11,9.72,2.43,33.1,3.754229607250755
