pitcher_id,pitcher_name,era,whip,k_per_9,bb_per_9,ip,fip_computed
623211,Huascar Brazobán,1.34,0.83,8.55,2.41,33.2,3.2102409638554215
663460,Kris Bubic,1.43,1.0,9.44,2.63,75.1,2.4442743009320904
671096,Andrew Abbott,1.51,1.03,10.01,3.4,47.2,3.15
543135,Nathan Eovaldi,1.56,0.81,9.48,1.3,69.1,2.223806078147612
673540,Kodai Senga,1.6,1.18,8.56,4.06,62.0,3.2306451612903224
656234,Jake Bird,1.6,1.16,11.23,4.01,33.2,2.366867469879518
641816,Tyler Mahle,1.64,1.05,6.55,3.27,66.0,3.18030303030303
686613,Hunter Brown,1.83,0.91,10.26,2.44,73.2,2.7401639344262296
608331,Max Fried,1.92,0.97,8.4,1.92,75.0,2.79
676979,Garrett Crochet,1.98,1.06,11.09,2.85,82.0,2.747560975609756
678024,Mike Vasil,2.1,1.28,6.29,5.5,34.1,4.352346041055719
694973,Paul Skenes,2.15,0.92,9.2,2.15,75.1,2.510852197070572
571927,Steven Matz,2.16,0.99,7.29,0.81,33.1,1.7904833836858005
669373,Tarik Skubal,2.26,0.79,11.78,0.83,75.2,1.8335106382978723
681517,Kyle Leahy,2.32,0.97,6.68,2.9,31.0,3.4725806451612904
656876,Drew Rasmussen,2.33,0.93,7.45,2.02,58.0,3.5120689655172415
594798,Jacob deGrom,2.34,0.98,8.57,2.21,69.1,3.670984081041968
806185,Hayden Birdsong,2.37,1.24,9.47,2.84,38.0,3.360526315789474
669302,Logan Gilbert,2.37,0.79,13.05,1.78,30.1,2.1200996677740864
808967,Yoshinobu Yamamoto,2.39,1.0,10.24,3.06,67.2,3.0458333333333334
592662,Robbie Ray,2.43,1.11,9.98,3.84,70.1,3.135734664764622
657746,Joe Ryan,2.57,0.83,10.29,1.29,63.0,2.9436507936507934
650633,Michael King,2.59,1.02,10.35,2.75,55.2,3.1681159420289853
607074,Carlos Rodón,2.6,0.94,11.15,3.22,72.2,3.177700831024931
668881,Hunter Greene,2.63,0.91,10.87,1.81,54.2,3.242250922509225
669203,Corbin Burnes,2.66,1.17,8.81,3.64,64.1,3.820826833073323
681343,Shane Smith,2.68,1.16,8.53,3.63,57.0,3.3780701754385962
656849,David Peterson,2.69,1.26,8.34,3.25,63.2,3.1974683544303795
676508,Ben Casparius,2.72,0.96,10.4,1.73,36.1,1.7649584487534626
624133,Ranger Suarez,2.72,1.18,8.17,2.48,36.1,2.5128808864265926
601713,Nick Pivetta,2.74,1.01,10.25,2.6,62.1,2.9889694041867956
641154,Pablo López,2.75,1.04,9.22,1.78,55.2,2.860144927536232
642547,Freddy Peralta,2.77,1.17,9.14,3.6,65.0,3.919230769230769
500779,Jose Quintana,2.77,1.28,6.23,3.46,39.0,4.585897435897436
693433,Bryan Woo,2.82,0.95,8.06,1.15,70.1,3.0358773181169756
