game_date,home_name,away_name,home_score,away_score,home_win
2025-03-27,New York Yankees,Milwaukee Brewers,4,2,1
2025-03-27,Toronto Blue Jays,Baltimore Orioles,2,12,0
2025-03-27,Texas Rangers,Boston Red Sox,2,5,0
2025-03-27,Washington Nationals,Philadelphia Phillies,3,7,0
2025-03-27,Kansas City Royals,Cleveland Guardians,4,7,0
2025-03-27,Houston Astros,New York Mets,3,1,1
2025-03-27,Cincinnati Reds,San Francisco Giants,4,6,0
2025-03-27,San Diego Padres,Atlanta Braves,7,4,1
2025-03-27,Chicago White Sox,Los Angeles Angels,8,1,1
2025-03-27,Miami Marlins,Pittsburgh Pirates,5,4,1
2025-03-27,St. Louis Cardinals,Minnesota Twins,5,3,1
2025-03-27,Los Angeles Dodgers,Detroit Tigers,5,4,1
2025-03-27,Arizona Diamondbacks,Chicago Cubs,6,10,0
2025-03-27,Seattle Mariners,Athletics,4,2,1
2025-03-28,Tampa Bay Rays,Colorado Rockies,3,2,1
2025-03-28,Toronto Blue Jays,Baltimore Orioles,8,2,1
2025-03-28,Miami Marlins,Pittsburgh Pirates,3,4,0
2025-03-28,Texas Rangers,Boston Red Sox,4,1,1
2025-03-28,Houston Astros,New York Mets,1,3,0
2025-03-28,Arizona Diamondbacks,Chicago Cubs,8,1,1
2025-03-28,Seattle Mariners,Athletics,0,7,0
2025-03-28,San Diego Padres,Atlanta Braves,4,3,1
2025-03-28,Los Angeles Dodgers,Detroit Tigers,8,5,1
2025-03-29,New York Yankees,Milwaukee Brewers,20,9,1
2025-03-29,Chicago White Sox,Los Angeles Angels,0,1,0
2025-03-29,St. Louis Cardinals,Minnesota Twins,5,1,1
2025-03-29,Toronto Blue Jays,Baltimore Orioles,5,9,0
2025-03-29,Washington Nationals,Philadelphia Phillies,6,11,0
2025-03-29,Kansas City Royals,Cleveland Guardians,4,3,1
2025-03-29,Cincinnati Reds,San Francisco Giants,3,2,1
2025-03-29,Tampa Bay Rays,Colorado Rockies,1,2,0
2025-03-29,Miami Marlins,Pittsburgh Pirates,5,4,1
2025-03-29,Texas Rangers,Boston Red Sox,4,3,1
2025-03-29,Houston Astros,New York Mets,2,1,1
2025-03-29,San Diego Padres,Atlanta Braves,1,0,1
2025-03-29,Arizona Diamondbacks,Chicago Cubs,3,4,0
2025-03-29,Los Angeles Dodgers,Detroit Tigers,7,3,1
2025-03-29,Seattle Mariners,Athletics,2,4,0
2025-03-30,Washington Nationals,Philadelphia Phillies,5,1,1
2025-03-30,New York Yankees,Milwaukee Brewers,12,3,1
2025-03-30,Toronto Blue Jays,Baltimore Orioles,3,1,1
2025-03-30,Cincinnati Reds,San Francisco Giants,3,6,0
2025-03-30,Tampa Bay Rays,Colorado Rockies,6,4,1
