pitcher_id,pitcher_name,era,whip,k_per_9,bb_per_9,ip,fip_computed
489446,Kirby Yates,1.02,0.82,14.73,1.84,44.0,0.7863636363636362
572888,Shane Greene,1.18,0.87,10.18,2.84,38.0,3.544736842105263
657097,Jacob Webb,1.39,1.11,7.79,3.34,32.1,4.146884735202492
547943,Hyun Jin Ryu,1.53,0.94,7.76,1.06,135.2,2.7357988165680474
493603,Adam Ottavino,1.53,1.32,12.64,5.74,47.0,3.3627659574468085
571704,Ken Giles,1.54,1.06,14.91,2.83,35.0,1.5214285714285714
607481,Aaron Bummer,1.58,0.9,7.88,2.93,40.0,3.025
623184,Scott Oberg,1.59,1.04,9.53,3.71,51.0,3.287254901960784
521230,Liam Hendriks,1.67,1.08,11.98,2.88,59.1,1.880964467005076
501789,Will Harris,1.77,1.13,8.19,2.21,40.2,3.349004975124378
607192,Tyler Glasnow,1.86,0.91,10.24,1.68,48.1,2.235239085239085
553878,Felipe Vázquez,1.87,1.06,14.12,2.28,43.1,1.6650812064965197
592169,Austin Brice,1.88,1.07,8.92,3.29,38.1,3.2812335958005248
519151,Ryan Pressly,2.03,0.86,11.17,1.62,44.1,2.6738095238095236
641941,Emilio Pagán,2.05,0.91,12.27,2.45,44.0,3.309090909090909
519443,Brandon Workman,2.08,1.03,12.46,6.04,47.2,2.6627118644067798
606149,Giovanny Gallegos,2.13,0.75,12.79,1.78,50.2,2.1739043824701194
517008,Alex Colomé,2.18,0.85,7.4,2.83,41.1,3.709610705596107
573124,Taylor Rogers,2.19,1.01,11.31,1.46,49.1,2.4371690427698574
607237,Amir Garrett,2.21,1.25,13.28,4.87,40.2,3.1002487562189054
623352,Josh Hader,2.25,0.73,16.62,2.25,52.0,2.707692307692308
647336,Michael Soroka,2.37,1.11,7.42,2.21,114.0,2.9219298245614036
453286,Max Scherzer,2.41,0.99,12.66,1.67,134.1,1.859917971662938
445213,Brandon Kintzler,2.42,0.94,7.46,2.01,44.2,3.330995475113122
502154,Zack Britton,2.45,1.23,7.36,4.5,44.0,3.9
543272,Brad Hand,2.45,1.0,13.91,2.25,44.0,2.286363636363636
473879,Sam Dyson,2.47,0.9,8.29,1.24,51.0,2.4833333333333334
606424,Jarlín García,2.51,0.93,6.96,2.23,32.1,2.7450155763239876
628711,Julio Urías,2.54,1.04,9.25,2.98,60.1,3.166638935108153
448179,Rich Hill,2.55,1.11,10.36,2.04,53.0,3.980188679245283
656794,Sean Newcomb,2.61,1.32,8.01,3.17,48.1,3.5034303534303533
532077,Roberto Osuna,2.62,0.9,9.47,1.61,44.2,3.0368778280542985
606625,Reyes Moronta,2.63,1.19,12.0,4.31,48.0,2.7333333333333334
622491,Luis Castillo,2.63,1.13,10.45,4.08,130.0,3.4884615384615385
433589,Yusmeiro Petit,2.64,0.86,7.29,0.93,58.0,3.856896551724138
519293,Will Smith,2.66,0.89,12.74,2.09,47.1,2.6616772823779193
592454,Tommy Kahnle,2.68,0.94,13.19,2.68,43.2,2.89537037037037
593423,Frankie Montas,2.7,1.12,9.7,2.1,90.0,2.7055555555555557
570663,Hansel Robles,2.72,1.13,8.52,2.17,49.2,3.0280487804878047
661255,Yoan López,2.72,1.0,6.49,2.3,43.0,4.28953488372093
668678,Zac Gallen,2.72,1.18,10.65,4.46,36.1,3.343905817174515
434378,Justin Verlander,2.73,0.81,11.63,1.84,151.2,3.57989417989418
607231,John Gant,2.73,1.08,7.69,3.25,52.2,3.513984674329502
607625,Seth Lugo,2.73,0.99,11.79,2.22,52.2,2.7477011494252874
450203,Charlie Morton,2.78,1.07,10.92,2.85,136.0,2.6279411764705882
594798,Jacob deGrom,2.78,1.08,11.51,2.25,136.0,2.679411764705882
663978,Chris Paddack,2.78,0.9,9.33,2.06,100.1,3.7094405594405595
621244,José Berríos,2.8,1.1,8.45,1.91,141.2,3.376628895184136
547973,Aroldis Chapman,2.81,1.25,12.74,4.32,41.2,2.373300970873786
477132,Clayton Kershaw,2.85,1.02,9.0,1.69,117.0,3.2696581196581196
643256,Adam Cimber,2.86,1.07,5.73,2.45,44.0,3.877272727272727
571735,David Hale,2.89,1.15,5.3,1.45,37.1,3.15
425844,Zack Greinke,2.9,0.95,8.32,1.29,146.0,3.067808219178082
621295,Nick Wittgren,2.93,1.03,9.23,2.25,40.0,3.475
453265,Tony Watson,2.93,1.09,6.91,1.26,43.0,3.847674418604651
518566,Taylor Cole,2.94,1.28,8.55,4.01,33.2,2.577710843373494
543037,Gerrit Cole,2.94,1.0,13.28,2.32,143.2,2.9614525139664805
573186,Marcus Stroman,2.96,1.23,7.15,2.53,124.2,3.4479066022544282
518553,Steve Cishek,2.98,1.1,8.01,3.17,48.1,3.7737006237006234
430935,Cole Hamels,2.98,1.2,8.76,3.16,99.2,3.432258064516129
448281,Sean Doolittle,3.0,1.27,10.8,2.2,45.0,2.9277777777777776
607560,Ryne Harper,3.0,1.05,9.0,1.71,42.0,3.269047619047619
543339,Daniel Hudson,3.0,1.27,9.0,4.31,48.0,3.9416666666666664
