pitcher_id,pitcher_name,era,whip,k_per_9,bb_per_9,ip,fip_computed
543243,Sonny Gray,0.77,1.06,10.54,3.09,35.0,1.8357142857142856
543037,Gerrit Cole,1.11,0.84,9.74,2.43,40.2,1.7818407960199005
657006,Justin Steele,1.49,0.96,7.93,2.72,36.1,3.011495844875346
675911,Spencer Strider,1.8,0.83,14.7,3.3,30.0,1.4166666666666665
622491,Luis Castillo,1.82,0.92,9.87,2.08,34.2,2.0096491228070175
660271,Shohei Ohtani,1.85,0.82,12.18,4.5,34.0,2.708823529411765
477132,Clayton Kershaw,1.89,0.76,9.71,1.18,38.0,2.7552631578947366
668933,Graham Ashcraft,2.1,1.17,7.2,4.5,30.0,3.4833333333333334
663556,Shane McClanahan,2.12,1.09,11.12,3.71,34.0,3.0617647058823527
668678,Zac Gallen,2.15,0.77,12.19,1.19,37.2,1.510215053763441
593958,Eduardo Rodriguez,2.21,0.87,7.36,1.72,36.2,3.5091160220994473
573186,Marcus Stroman,2.29,1.05,8.41,3.31,35.1,3.491880341880342
592332,Kevin Gausman,2.33,1.01,12.57,1.4,38.2,2.155235602094241
686613,Hunter Brown,2.37,1.05,9.49,2.97,30.1,2.0204318936877077
527048,Martín Pérez,2.41,1.4,6.95,2.41,33.2,3.9632530120481926
502171,Alex Cobb,2.43,1.29,8.91,1.08,33.1,2.6968277945619334
664285,Framber Valdez,2.54,1.15,8.54,1.85,39.0,3.201282051282051
594798,Jacob deGrom,2.67,0.76,13.35,1.19,30.1,1.4224252491694351
680686,Josiah Gray,2.67,1.28,8.29,3.48,33.2,4.023493975903614
543101,Anthony DeSclafani,2.7,0.93,8.1,0.9,30.0,3.3833333333333333
657746,Joe Ryan,2.81,0.81,10.13,1.13,32.0,2.9
669923,George Kirby,2.93,0.95,7.04,0.59,30.2,2.1897350993377485
518876,Merrill Kelly,3.06,1.3,8.35,5.01,32.1,3.7730529595015576
592826,Vince Velasquez,3.06,1.18,8.91,3.34,32.1,3.4926791277258564
669456,Shane Bieber,3.11,1.14,6.21,2.63,37.2,3.3381720430107524
669160,Dustin May,3.15,0.99,6.03,3.67,34.1,3.4139296187683286
656756,Jordan Montgomery,3.34,1.23,8.23,2.06,35.0,2.3785714285714286
664299,Cristian Javier,3.48,1.13,9.36,1.87,33.2,3.631927710843373
666200,Jesús Luzardo,3.48,1.34,10.16,2.94,33.2,3.4210843373493973
656605,Mitch Keller,3.53,1.21,10.09,3.03,35.2,3.377272727272727
641745,Brad Keller,3.56,1.58,7.12,7.12,30.1,4.379235880398671
506433,Yu Darvish,3.6,1.2,10.2,3.6,30.0,3.3833333333333333
656876,Drew Rasmussen,3.66,1.28,9.56,2.53,32.0,2.68125
554430,Zack Wheeler,3.86,1.22,11.3,3.03,32.2,2.0319875776397516
543135,Nathan Eovaldi,3.93,1.15,9.57,1.23,36.2,1.7687845303867404
502043,Kyle Gibson,3.93,1.31,7.08,2.88,34.1,4.059090909090909
656427,Jack Flaherty,3.94,1.44,9.28,5.91,32.0,4.68125
641154,Pablo López,4.0,1.11,11.5,2.25,36.0,2.4277777777777776
669203,Corbin Burnes,4.01,1.13,7.22,2.94,33.2,3.692168674698795
657277,Logan Webb,4.1,1.15,10.37,1.21,37.1,3.6890835579514825
656302,Dylan Cease,4.15,1.38,10.98,4.45,30.1,3.4822259136212623
608337,Lucas Giolito,4.15,1.18,8.83,1.56,34.2,3.2084795321637425
448179,Rich Hill,4.18,1.39,7.52,2.51,32.1,5.143769470404984
607536,Kyle Freeland,4.32,1.17,5.67,2.16,33.1,5.355438066465257
628711,Julio Urías,4.41,1.29,9.64,1.93,32.2,4.4543478260869565
605400,Aaron Nola,4.46,1.13,6.94,2.23,36.1,3.7871191135734072
670912,Johan Oviedo,4.78,1.47,8.44,3.38,32.0,3.61875
666201,Alek Manoah,4.88,1.63,8.04,5.74,31.1,5.368649517684887
641482,Nestor Cortes,4.91,1.18,9.55,2.45,33.0,4.210606060606061
663559,Bailey Falter,5.01,1.33,6.12,1.95,32.1,4.863395638629283
645261,Sandy Alcantara,5.04,1.15,7.71,2.67,30.1,3.6151162790697673
605135,Chris Bassitt,5.18,1.24,7.64,4.36,33.0,5.2712121212121215
571578,Patrick Corbin,5.74,1.66,6.03,2.59,31.1,5.17572347266881
571945,Miles Mikolas,5.97,1.71,8.24,2.56,31.2,4.656410256410256
425844,Zack Greinke,6.1,1.45,6.39,1.74,31.0,5.2467741935483865
543475,Jordan Lyles,6.11,1.36,6.88,3.06,35.1,5.97051282051282
666157,Nick Lodolo,6.16,1.73,12.91,2.64,30.2,4.573841059602649
592789,Noah Syndergaard,6.32,1.4,6.03,1.15,31.1,4.27540192926045
669194,Ryne Nelson,6.39,1.52,5.52,2.61,31.0,4.891935483870967
458681,Lance Lynn,7.16,1.59,11.57,4.13,32.2,5.168633540372671
686610,Ken Waldichuk,7.26,1.65,7.26,3.48,31.0,6.891935483870967
656849,David Peterson,7.34,1.57,10.57,2.93,30.2,5.202980132450331
