pitcher_id,pitcher_name,era,whip,k_per_9,bb_per_9,ip,fip_computed
518886,Craig Kimbrel,0.48,0.69,15.53,3.11,37.2,1.053225806451613
608665,Kendall Graveman,0.79,0.67,9.7,2.1,34.1,2.4461876832844576
594798,Jacob deGrom,1.08,0.55,14.28,1.08,92.0,1.1826086956521737
624133,Ranger Suarez,1.12,0.87,9.37,3.12,40.1,3.0751870324189525
676477,Garrett Whitlock,1.26,1.06,9.54,1.98,50.0,2.73
571901,Aaron Loup,1.32,1.03,10.06,1.85,34.0,1.5323529411764705
552640,Andrew Kittredge,1.4,0.9,9.12,2.45,51.1,2.9543052837573383
543521,Collin McHugh,1.51,0.91,12.74,1.73,41.2,1.183980582524272
643511,Tyler Rogers,1.84,1.0,5.88,1.65,49.0,3.190816326530612
661403,Emmanuel Clase,1.85,1.19,9.69,2.89,43.2,2.5481481481481483
622088,Tejay Antone,1.87,0.86,11.23,3.21,33.2,2.8789156626506025
623352,Josh Hader,1.88,0.83,15.26,3.29,38.1,1.8639107611548555
621052,Alex Reyes,1.89,1.32,10.95,7.17,47.2,3.6584745762711863
641482,Nestor Cortes,1.93,0.95,10.74,2.76,32.2,2.0630434782608695
453343,Mark Melancon,1.96,1.11,7.63,3.33,46.0,3.693478260869565
605177,Andrew Chafin,1.98,0.83,8.56,2.63,41.0,2.442682926829268
642152,Lou Trivino,1.99,1.17,8.15,4.35,49.2,3.5768292682926828
656731,Tylor Megill,2.04,1.1,9.93,2.8,35.1,3.3494301994301994
519151,Ryan Pressly,2.05,0.91,11.25,1.64,44.0,2.081818181818182
592741,Chasen Shreve,2.05,1.27,6.16,5.28,30.2,4.838741721854305
458681,Lance Lynn,2.07,1.05,10.1,2.73,108.2,3.011367837338262
623149,Paul Sewald,2.16,0.93,15.12,3.24,33.1,1.6394259818731118
642547,Freddy Peralta,2.17,0.87,12.08,3.92,108.0,2.974074074074074
669622,Anthony Bender,2.19,0.92,11.68,2.19,37.0,2.339189189189189
621111,Walker Buehler,2.19,0.9,9.22,2.06,135.2,3.0316568047337276
624522,Keegan Thompson,2.21,1.28,9.52,4.87,40.2,4.9161691542288555
595014,Blake Treinen,2.22,0.99,9.87,2.42,44.2,2.6296380090497737
608716,Drew Steckenrider,2.25,0.98,9.23,2.7,40.0,2.975
605540,Brandon Woodruff,2.26,0.88,10.42,2.19,131.1,2.555034324942792
459429,Jake McGee,2.28,0.78,9.55,1.45,43.1,3.0107888631090485
598264,Matt Barnes,2.3,0.81,13.81,2.3,43.0,2.0569767441860467
680704,Nick Sandlin,2.32,1.06,13.06,4.94,31.0,2.311290322580645
605507,Zach Thompson,2.33,1.09,9.54,3.26,38.2,3.1238219895287958
592332,Kevin Gausman,2.35,0.95,10.61,2.78,126.1,2.9517446471054716
643256,Adam Cimber,2.36,1.03,5.91,2.36,45.2,2.6190265486725663
592426,Luke Jackson,2.37,1.32,9.0,4.5,38.0,4.360526315789474
657044,Ryan Thompson,2.38,1.03,9.79,2.38,34.0,2.914705882352941
543339,Daniel Hudson,2.41,0.92,13.1,1.87,33.2,2.7885542168674697
554430,Zack Wheeler,2.45,1.02,10.63,2.06,139.2,2.3094827586206894
669432,Trevor Rogers,2.45,1.13,10.55,3.27,110.0,2.4863636363636363
669203,Corbin Burnes,2.46,0.97,12.91,1.7,106.0,1.3386792452830187
666201,Alek Manoah,2.47,0.97,10.65,3.04,47.1,3.723248407643312
605447,Jordan Romano,2.48,1.18,10.9,4.21,36.1,3.2054016620498613
607074,Carlos Rodón,2.49,0.96,12.81,2.41,104.2,2.4686180422264874
606149,Giovanny Gallegos,2.5,0.72,10.33,2.0,54.0,2.4833333333333334
453178,Ian Kennedy,2.51,1.05,9.74,1.95,32.1,3.648442367601246
518633,Danny Duffy,2.51,1.21,9.59,3.25,61.0,3.379508196721311
521230,Liam Hendriks,2.53,0.71,14.18,0.97,46.1,2.5643167028199567
489334,Craig Stammen,2.55,0.98,9.15,1.2,60.0,3.466666666666667
656629,Michael Kopech,2.55,1.06,12.76,3.61,42.1,2.7461995249406175
571710,Mychal Givens,2.56,1.29,10.8,4.26,31.2,4.23974358974359
545333,Trevor Bauer,2.59,1.0,11.45,3.09,107.2,3.933582089552239
573186,Marcus Stroman,2.62,1.11,7.48,2.08,116.2,3.2962994836488813
642528,Jonathan Loáisiga,2.63,1.03,8.94,1.75,51.1,2.2498043052837575
571670,Dylan Floro,2.63,1.29,8.56,3.95,41.0,2.5646341463414632
607192,Tyler Glasnow,2.66,0.93,12.58,2.76,88.0,2.752272727272727
613534,Austin Adams,2.68,1.19,13.38,5.84,37.0,2.122972972972973
605130,Scott Barlow,2.7,1.22,11.7,3.78,50.0,2.33
657612,Tim Hill,2.7,1.15,9.9,3.15,40.0,3.625
554431,Tyler Matzek,2.7,1.28,11.03,5.63,40.0,3.225
606303,Joel Payamps,2.7,1.07,6.6,3.3,30.0,4.083333333333333
502202,Brad Boxberger,2.74,1.1,10.97,4.22,42.2,3.6476303317535543
570666,Luis Cessa,2.75,1.25,7.32,3.89,39.1,3.4824808184143223
593144,Richard Rodríguez,2.75,0.86,7.55,1.14,39.1,2.5106138107416878
642121,Cole Sulser,2.75,1.19,12.36,4.12,39.1,2.7663682864450125
