game_id,home_team,away_team,bet_side,american_odds,model_prob,ev,kelly_fraction,prob_flag
00df9acbb37e0b01ff82cec41f4c57b8,Atlanta Braves,Washington Nationals,home,-153,0.769706,0.27278183488284846,0.20867810368537906,False
24764298bc8225d9b8c29e943649671f,Miami Marlins,New York Mets,home,102,0.7820588,0.5797587263584137,0.28419545409726166,False
35fc54e79ed63979cd762e9846ada0c2,Cincinnati Reds,St. Louis Cardinals,home,-115,0.6136697,0.14729551387869788,0.08469492048025129,False
491a9de98e8b6561bbf422febc6f39af,Baltimore Orioles,Detroit Tigers,home,-124,0.70260257,0.26921753729543374,0.16691487312316894,False
8f29a5e5e5da656a595405cea1f3dbae,New York Yankees,Tampa Bay Rays,home,-127,0.58982724,0.0542581367680407,0.034453916847705844,False
a3077ecb7ee3e8827e0af9e701b5e0b7,Baltimore Orioles,Detroit Tigers,home,-122,0.70260257,0.2785063073283336,0.1698888474702835,False
bcb23e6708172d9bcdc2a18e01b320ce,San Francisco Giants,Chicago White Sox,home,-114,0.59391385,0.11489091735137136,0.06548782289028168,False
fb835eef241cc0456eb7fed048643f00,Chicago Cubs,Houston Astros,home,-168,0.79650235,0.2706108944756644,0.2273131513595581,False
0c7eacfb6fcc01d117cceb47c958a392,Kansas City Royals,Seattle Mariners,away,-115,0.5885622,0.10035539969154028,0.05770435482263566,False
30932455872c68aa6d63646b48a38fc5,Milwaukee Brewers,Los Angeles Dodgers,away,-155,0.67512083,0.11068265668807492,0.08577905893325806,False
36c39001c1807b1162a5ddb493c32855,San Diego Padres,Athletics,away,151,0.6200557,0.5563397455215454,0.18421845878196869,False
3d426f5b8c4503c96291d847232b352e,Boston Red Sox,Minnesota Twins,away,138,0.48924863,0.16441174745559684,0.05956947371579596,False
491a9de98e8b6561bbf422febc6f39af,Baltimore Orioles,Detroit Tigers,away,119,0.81583107,0.7866700327396392,0.33053362720152907,True
6810bebc827ff6339e19bf57045954c2,Philadelphia Phillies,Cleveland Guardians,away,-111,0.7688413,0.4614911696932338,0.25612759917974476,False
a3077ecb7ee3e8827e0af9e701b5e0b7,Baltimore Orioles,Detroit Tigers,away,106,0.81583107,0.6806119942665101,0.3210433935219387,True
f70aa43669ed4dd4d5fa56bbe2964822,Toronto Blue Jays,Pittsburgh Pirates,away,149,0.67987174,0.6928806275129318,0.23251027768890328,False
