game_id,home_team,away_team,bet_side,american_odds,model_prob,ev,kelly_fraction,prob_flag
7298c47d240347dac3ccc27327e2dd9c,New York Yankees,Tampa Bay Rays,home,-141,0.7969093,0.36209315399751596,0.25527567356824876,False
ea533201c1219a43e8c91415af4065b2,Philadelphia Phillies,Cleveland Guardians,home,-168,0.7877326,0.25662105424063547,0.2155616855621338,False
ed5e4f7c7c0c51b06ffd0fdf93ce8f17,Boston Red Sox,Minnesota Twins,home,-145,0.78771096,0.3309599058381443,0.23994593173265458,False
0fec3ff922e35049f5bbc3e899ce1cef,Milwaukee Brewers,Los Angeles Dodgers,away,-106,0.66427374,0.2909470774092764,0.15420195102691647,False
2e525c53c28c114fe0aeaafcbe01e2be,San Francisco Giants,Chicago White Sox,away,-109,0.8648002,0.6581949072146634,0.3587162244319916,True
30849d75479678c5245fbaa4ea9919ec,San Diego Padres,Athletics,away,114,0.8202704,0.7553786969184875,0.3313064460168805,True
35a7408a1687fdea6b7052d86f74cdb5,Los Angeles Angels,Texas Rangers,away,-148,0.84175295,0.41050493717193604,0.3037736535072327,True
7299c6da7b62235dd67f58484e58a33b,Atlanta Braves,Washington Nationals,away,188,0.48838973,0.40656242370605467,0.1081283041771422,False
79b579806db1b97214fad9783eef88cd,Kansas City Royals,Seattle Mariners,away,-110,0.6667153,0.27282016385685315,0.15005109012126924,False
a29760479f428402af00a34cffbc00cf,Miami Marlins,New York Mets,away,100,0.633026,0.2660520076751709,0.13302600383758545,False
a5ab3fe9c783f6349643c38556202b88,Chicago Cubs,Houston Astros,away,124,0.56819046,0.2727466201782226,0.10997847587831557,False
b76277870735bb77b65fe5d409036cf6,Toronto Blue Jays,Pittsburgh Pirates,away,142,0.553476,0.33941186189651484,0.11951121897764608,False
de08b74f7a56e9ca21d1a814f3bb9580,Cincinnati Reds,St. Louis Cardinals,away,108,0.6797961,0.41397588729858403,0.19165550337897408,False
